County,Precinct,Bentley F. Hensel,David R. Kennedy,"Donald S. Beyer, Jr.",Jerry W. Torres,Write-In
ARLINGTON COUNTY,140 - PRECINCT 140 (0000),0,0,0,0,0
ARLINGTON COUNTY,141 - PRECINCT 141 (0000),0,0,0,0,0
ARLINGTON COUNTY,142 - PRECINCT 142 (0000),0,0,0,0,0
ARLINGTON COUNTY,143 - PRECINCT 143 (0000),0,0,0,0,0
ARLINGTON COUNTY,144 - PRECINCT 144 (0000),0,0,0,0,0
ARLINGTON COUNTY,145 - PRECINCT 145 (0000),0,0,0,0,0
ARLINGTON COUNTY,146 - PRECINCT 146 (0000),0,0,0,0,0
ARLINGTON COUNTY,147 - PRECINCT 147 (0000),0,0,0,0,0
ARLINGTON COUNTY,148 - PRECINCT 148 (0000),0,0,0,0,0
ARLINGTON COUNTY,149 - PRECINCT 149 (0000),0,0,0,0,0
ARLINGTON COUNTY,150 - PRECINCT 150 (0000),0,0,0,0,0
ARLINGTON COUNTY,151 - PRECINCT 151 (0000),0,0,0,0,0
ARLINGTON COUNTY,152 - PRECINCT 152 (0000),0,0,0,0,0
ARLINGTON COUNTY,153 - PRECINCT 153 (0000),0,0,0,0,0
ARLINGTON COUNTY,154 - PRECINCT 154 (0000),0,0,0,0,0
ARLINGTON COUNTY,ARLINGTON COUNTY PROVISIONALS,0,0,0,0,0
FAIRFAX COUNTY,106 - HERITAGE (0000),0,0,0,0,0
FAIRFAX COUNTY,110 - NORTH SPRINGFIELD (0000),0,0,0,0,0
FAIRFAX COUNTY,301 - CHAIN BRIDGE (0000),0,0,0,0,0
FAIRFAX COUNTY,302 - CHESTERBROOK (0000),0,0,0,0,0
FAIRFAX COUNTY,303 - CHURCHILL (0000),0,0,0,0,0
FAIRFAX COUNTY,305 - EL NIDO (0000),0,0,0,0,0
FAIRFAX COUNTY,307 - HAYCOCK (0000),0,0,0,0,0
FAIRFAX COUNTY,310 - KIRBY (0000),0,0,0,0,0
FAIRFAX COUNTY,311 - LANGLEY (0000),0,0,0,0,0
FAIRFAX COUNTY,312 - LONGFELLOW (0000),0,0,0,0,0
FAIRFAX COUNTY,314 - MCLEAN (0000),0,0,0,0,0
FAIRFAX COUNTY,315 - PIMMIT (0000),0,0,0,0,0
FAIRFAX COUNTY,316 - SALONA (0000),0,0,0,0,0
FAIRFAX COUNTY,317 - WESTHAMPTON (0000),0,0,0,0,0
FAIRFAX COUNTY,318 - WESTMORELAND (0000),0,0,0,0,0
FAIRFAX COUNTY,401 - BUSH HILL (0000),0,0,0,0,0
FAIRFAX COUNTY,402 - CAMERON (0000),0,0,0,0,0
FAIRFAX COUNTY,404 - EDISON #1 (0000),0,0,0,0,0
FAIRFAX COUNTY,405 - GROVETON (0000),0,0,0,0,0
FAIRFAX COUNTY,406 - HAYFIELD (0001),0,0,0,0,0
FAIRFAX COUNTY,408 - MOUNT EAGLE (0000),0,0,0,0,0
FAIRFAX COUNTY,"409 - PIONEER (0000,0001)",0,0,0,0,0
FAIRFAX COUNTY,410 - ROSE HILL (0000),0,0,0,0,0
FAIRFAX COUNTY,411 - VIRGINIA HILLS (0000),0,0,0,0,0
FAIRFAX COUNTY,413 - FAIRFIELD (0000),0,0,0,0,0
FAIRFAX COUNTY,420 - VILLAGES (0000),0,0,0,0,0
FAIRFAX COUNTY,421 - KINGSTOWNE (0000),0,0,0,0,0
FAIRFAX COUNTY,423 - CLERMONT (0000),0,0,0,0,0
FAIRFAX COUNTY,424 - HUNTLEY (0000),0,0,0,0,0
FAIRFAX COUNTY,428 - PINEWOOD (0000),0,0,0,0,0
FAIRFAX COUNTY,429 - HYBLA VALLEY (0000),0,0,0,0,0
FAIRFAX COUNTY,433 - LYNBROOK #2 (0000),0,0,0,0,0
FAIRFAX COUNTY,501 - BAILEYS (0000),0,0,0,0,0
FAIRFAX COUNTY,502 - BARCROFT (0000),0,0,0,0,0
FAIRFAX COUNTY,503 - BELVEDERE (0000),0,0,0,0,0
FAIRFAX COUNTY,504 - BRISTOW (0000),0,0,0,0,0
FAIRFAX COUNTY,505 - GLEN FOREST (0000),0,0,0,0,0
FAIRFAX COUNTY,506 - HOLMES (0000),0,0,0,0,0
FAIRFAX COUNTY,507 - LINCOLNIA (0000),0,0,0,0,0
FAIRFAX COUNTY,508 - MASONVILLE (0000),0,0,0,0,0
FAIRFAX COUNTY,509 - PLAZA (0000),0,0,0,0,0
FAIRFAX COUNTY,510 - PARKLAWN (0000),0,0,0,0,0
FAIRFAX COUNTY,511 - RAVENWOOD (0000),0,0,0,0,0
FAIRFAX COUNTY,512 - SLEEPY HOLLOW (0000),0,0,0,0,0
FAIRFAX COUNTY,513 - SAINT ALBANS (0000),0,0,0,0,0
FAIRFAX COUNTY,514 - CROSSROADS (0000),0,0,0,0,0
FAIRFAX COUNTY,515 - WESTLAWN (0000),0,0,0,0,0
FAIRFAX COUNTY,516 - WEYANOKE (0000),0,0,0,0,0
FAIRFAX COUNTY,517 - WILLSTON (0000),0,0,0,0,0
FAIRFAX COUNTY,518 - COLUMBIA (0000),0,0,0,0,0
FAIRFAX COUNTY,520 - SKYLINE (0000),0,0,0,0,0
FAIRFAX COUNTY,521 - BROOK HILL (0000),0,0,0,0,0
